NumTree,Number_bridges_Of_Question_i,Gender,Age,Number_of_bridges,Delta_Learning_Minutes,depth,Accuracy,correct_model,QuestionId
1,1,Male,25,2,0.633333333,1,72,1,1
1,1,Male,25,2,0.633333333,1,72,1,2
1,1,Male,25,2,0.633333333,1,72,1,3
1,1,Male,25,2,0.633333333,1,72,0,4
1,1,Male,25,2,0.633333333,1,72,0,5
1,1,Male,25,2,0.633333333,1,72,1,6
1,1,Male,25,2,0.633333333,1,72,0,7
1,1,Male,25,2,0.633333333,1,72,0,8
1,1,Male,25,2,0.633333333,1,72,0,9
1,1,Male,25,2,0.633333333,1,72,0,10
1,1,Male,25,2,0.633333333,1,72,1,11
1,1,Male,25,2,0.633333333,1,72,0,12
1,1,Male,36,2,0.533333333,1,72,1,1
1,1,Male,36,2,0.533333333,1,72,1,2
1,1,Male,36,2,0.533333333,1,72,1,3
1,1,Male,36,2,0.533333333,1,72,1,4
1,1,Male,36,2,0.533333333,1,72,1,5
1,1,Male,36,2,0.533333333,1,72,1,6
1,1,Male,36,2,0.533333333,1,72,1,7
1,1,Male,36,2,0.533333333,1,72,1,8
1,1,Male,36,2,0.533333333,1,72,1,9
1,1,Male,36,2,0.533333333,1,72,1,10
1,1,Male,36,2,0.533333333,1,72,1,11
1,1,Male,36,2,0.533333333,1,72,1,12
1,1,Female,35,2,1.216666667,1,72,1,1
1,1,Female,35,2,1.216666667,1,72,1,2
1,1,Female,35,2,1.216666667,1,72,1,3
1,1,Female,35,2,1.216666667,1,72,1,4
1,1,Female,35,2,1.216666667,1,72,1,5
1,1,Female,35,2,1.216666667,1,72,1,6
1,1,Female,35,2,1.216666667,1,72,1,7
1,1,Female,35,2,1.216666667,1,72,1,8
1,1,Female,35,2,1.216666667,1,72,1,9
1,1,Female,35,2,1.216666667,1,72,1,10
1,1,Female,35,2,1.216666667,1,72,1,11
1,1,Female,35,2,1.216666667,1,72,1,12
1,1,Male,39,2,0.483333333,1,72,1,1
1,1,Male,39,2,0.483333333,1,72,1,2
1,1,Male,39,2,0.483333333,1,72,1,3
1,1,Male,39,2,0.483333333,1,72,1,4
1,1,Male,39,2,0.483333333,1,72,1,5
1,1,Male,39,2,0.483333333,1,72,1,6
1,1,Male,39,2,0.483333333,1,72,1,7
1,1,Male,39,2,0.483333333,1,72,1,8
1,1,Male,39,2,0.483333333,1,72,1,9
1,1,Male,39,2,0.483333333,1,72,1,10
1,1,Male,39,2,0.483333333,1,72,1,11
1,1,Male,39,2,0.483333333,1,72,1,12
1,1,Male,39,2,0.4,1,72,1,1
1,1,Male,39,2,0.4,1,72,1,2
1,1,Male,39,2,0.4,1,72,1,3
1,1,Male,39,2,0.4,1,72,1,4
1,1,Male,39,2,0.4,1,72,1,5
1,1,Male,39,2,0.4,1,72,1,6
1,1,Male,39,2,0.4,1,72,1,7
1,1,Male,39,2,0.4,1,72,1,8
1,1,Male,39,2,0.4,1,72,1,9
1,1,Male,39,2,0.4,1,72,1,10
1,1,Male,39,2,0.4,1,72,1,11
1,1,Male,39,2,0.4,1,72,1,12
1,1,Male,46,2,1.65,1,72,1,1
1,1,Male,46,2,1.65,1,72,1,2
1,1,Male,46,2,1.65,1,72,1,3
1,1,Male,46,2,1.65,1,72,1,4
1,1,Male,46,2,1.65,1,72,1,5
1,1,Male,46,2,1.65,1,72,1,6
1,1,Male,46,2,1.65,1,72,1,7
1,1,Male,46,2,1.65,1,72,1,8
1,1,Male,46,2,1.65,1,72,1,9
1,1,Male,46,2,1.65,1,72,1,10
1,1,Male,46,2,1.65,1,72,1,11
1,1,Male,46,2,1.65,1,72,1,12
1,1,Female,25,2,0.733333333,1,72,1,1
