NumTree,QuestionId,Number_bridges_Of_Question_i,Gender,Age,Number_of_bridges,Delta_Learning_Minutes,depth,Accuracy,correct_model
2,1,2,Male,30,7,2.133333333,2,80,1
2,2,2,Male,30,7,2.133333333,2,80,1
2,3,2,Male,30,7,2.133333333,2,80,1
2,4,2,Male,30,7,2.133333333,2,80,1
2,5,2,Male,30,7,2.133333333,2,80,1
2,6,2,Male,30,7,2.133333333,2,80,0
2,7,2,Male,30,7,2.133333333,2,80,1
2,8,2,Male,30,7,2.133333333,2,80,1
2,9,2,Male,30,7,2.133333333,2,80,1
2,10,2,Male,30,7,2.133333333,2,80,1
2,11,2,Male,30,7,2.133333333,2,80,1
2,12,2,Male,30,7,2.133333333,2,80,1
2,1,2,Male,31,7,0.816666667,2,80,0
2,2,2,Male,31,7,0.816666667,2,80,1
2,3,2,Male,31,7,0.816666667,2,80,1
2,4,2,Male,31,7,0.816666667,2,80,1
2,5,2,Male,31,7,0.816666667,2,80,1
2,6,2,Male,31,7,0.816666667,2,80,1
2,7,2,Male,31,7,0.816666667,2,80,1
2,8,2,Male,31,7,0.816666667,2,80,1
2,9,2,Male,31,7,0.816666667,2,80,1
2,10,2,Male,31,7,0.816666667,2,80,0
2,11,2,Male,31,7,0.816666667,2,80,1
2,12,2,Male,31,7,0.816666667,2,80,0
2,1,2,Male,34,7,2.216666667,2,80,0
2,2,2,Male,34,7,2.216666667,2,80,0
2,3,2,Male,34,7,2.216666667,2,80,0
2,4,2,Male,34,7,2.216666667,2,80,1
2,5,2,Male,34,7,2.216666667,2,80,1
2,6,2,Male,34,7,2.216666667,2,80,0
2,7,2,Male,34,7,2.216666667,2,80,1
2,8,2,Male,34,7,2.216666667,2,80,0
2,9,2,Male,34,7,2.216666667,2,80,1
2,10,2,Male,34,7,2.216666667,2,80,0
2,11,2,Male,34,7,2.216666667,2,80,0
2,12,2,Male,34,7,2.216666667,2,80,1
2,1,2,Male,30,7,6.15,2,80,0
2,2,2,Male,30,7,6.15,2,80,1
2,3,2,Male,30,7,6.15,2,80,0
2,4,2,Male,30,7,6.15,2,80,1
2,5,2,Male,30,7,6.15,2,80,1
2,6,2,Male,30,7,6.15,2,80,1
2,7,2,Male,30,7,6.15,2,80,1
2,8,2,Male,30,7,6.15,2,80,1
2,9,2,Male,30,7,6.15,2,80,1
2,10,2,Male,30,7,6.15,2,80,0
2,11,2,Male,30,7,6.15,2,80,1
2,12,2,Male,30,7,6.15,2,80,1
2,1,2,Male,25,7,0.716666667,2,80,1
2,2,2,Male,25,7,0.716666667,2,80,1
2,3,2,Male,25,7,0.716666667,2,80,1
2,4,2,Male,25,7,0.716666667,2,80,0
2,5,2,Male,25,7,0.716666667,2,80,0
2,6,2,Male,25,7,0.716666667,2,80,1
2,7,2,Male,25,7,0.716666667,2,80,1
2,8,2,Male,25,7,0.716666667,2,80,0
2,9,2,Male,25,7,0.716666667,2,80,0
2,10,2,Male,25,7,0.716666667,2,80,0
2,11,2,Male,25,7,0.716666667,2,80,0
2,12,2,Male,25,7,0.716666667,2,80,0
2,1,2,Female,35,7,3.05,2,80,1
2,2,2,Female,35,7,3.05,2,80,1
2,3,2,Female,35,7,3.05,2,80,1
2,4,2,Female,35,7,3.05,2,80,1
2,5,2,Female,35,7,3.05,2,80,1
2,6,2,Female,35,7,3.05,2,80,1
2,7,2,Female,35,7,3.05,2,80,1
2,8,2,Female,35,7,3.05,2,80,1
2,9,2,Female,35,7,3.05,2,80,1
2,10,2,Female,35,7,3.05,2,80,1
2,11,2,Female,35,7,3.05,2,80,1
2,12,2,Female,35,7,3.05,2,80,1
2,1,2,Male,55,7,0.683333333,2,80,0
2,2,2,Male,55,7,0.683333333,2,80,0
2,3,2,Male,55,7,0.683333333,2,80,1
2,4,2,Male,55,7,0.683333333,2,80,0
2,5,2,Male,55,7,0.683333333,2,80,1
2,6,2,Male,55,7,0.683333333,2,80,1
